GEO_ID,Year,Total Population,Median Age,Median HH Income,Total Housing Units,Median Number of Rooms,Median Year Built,Median Gross Rent,Mean HH Size,Percent White,Percent Black,Percent HH with Children,Percent Housing Vacant,geo_12,Number of Public Schools
1500000US170310309002,2013,1064,42.1,59116.0,515,5.2,1939.0,1189.0,2.07,0.6372180451127819,0.044172932330827065,0.3208955223880597,0.0,170310309002,0.0
1500000US170310309003,2013,927,35.3,83839.0,372,5.3,1939.0,1205.0,2.49,0.7313915857605178,0.03128371089536138,0.478494623655914,0.0,170310309003,0.0
1500000US170310309004,2013,972,36.0,67250.0,416,5.7,1939.0,1325.0,2.74,0.6008230452674898,0.0,0.545045045045045,0.15865384615384615,170310309004,1.0
1500000US170310310001,2013,1077,38.2,80625.0,545,4.9,1939.0,954.0,2.23,0.6731662024141133,0.008356545961002786,0.3142857142857143,0.11376146788990826,170310310001,0.0
1500000US170310310002,2013,974,39.3,51635.0,704,3.8,1939.0,984.0,1.82,0.7967145790554415,0.07802874743326489,0.2011173184357542,0.2741477272727273,170310310002,0.0
1500000US170310310003,2013,1167,38.2,68333.0,850,4.3,1939.0,1093.0,1.59,0.8371893744644388,0.00856898029134533,0.24630541871921183,0.1388235294117647,170310310003,0.0
1500000US170310311001,2013,1781,35.6,65668.0,1084,4.3,1939.0,1097.0,1.75,0.8731049971925884,0.0005614823133071309,0.12195121951219512,0.06365313653136531,170310311001,0.0
1500000US170310311002,2013,767,49.8,26378.0,642,3.3,1939.0,742.0,1.49,0.6531942633637549,0.20730117340286833,0.06622516556291391,0.19937694704049844,170310311002,0.0
1500000US170310311003,2013,1680,38.9,74765.0,771,4.6,1939.0,1053.0,2.25,0.5226190476190476,0.03511904761904762,0.2627118644067797,0.08430609597924774,170310311003,0.0
1500000US170310312001,2013,1353,40.3,16220.0,891,2.3,1939.0,616.0,1.92,0.6762749445676275,0.1278640059127864,0.6150234741784038,0.20763187429854096,170310312001,0.0
1500000US170310312002,2013,1646,32.5,17917.0,619,3.8,1939.0,339.0,2.78,0.2910085054678007,0.405224787363305,0.5300859598853869,0.21647819063004847,170310312002,0.0
1500000US170310312003,2013,936,53.3,8969.0,816,1.4,1946.0,416.0,1.3,0.3141025641025641,0.6047008547008547,0.328125,0.11519607843137254,170310312003,1.0
1500000US170310312004,2013,1388,44.4,20295.0,916,2.7,1939.0,470.0,1.77,0.5410662824207493,0.1988472622478386,0.1813186813186813,0.14519650655021835,170310312004,0.0
1500000US170310313001,2013,1235,49.2,43194.0,585,3.8,1939.0,654.0,2.06,0.674493927125506,0.16113360323886639,0.08433734939759036,0.09230769230769231,170310313001,0.0
1500000US170310313002,2013,1369,34.2,58625.0,863,3.1,1955.0,1098.0,1.74,0.6274653031409788,0.17677136596055515,0.25882352941176473,0.09038238702201622,170310313002,0.0
1500000US170310313003,2013,708,46.2,9811.0,209,2.9,1962.0,725.0,2.52,0.3742937853107345,0.3192090395480226,0.19576719576719576,0.0,170310313003,0.0
1500000US170310313004,2013,2492,47.4,23580.0,1466,2.7,1939.0,628.0,1.63,0.36757624398073835,0.3703852327447833,0.5439024390243903,0.0286493860845839,170310313004,1.0
1500000US170310313005,2013,1687,39.1,42857.0,890,3.7,1939.0,859.0,1.97,0.3811499703615886,0.2086544161232958,0.46567164179104475,0.035955056179775284,170310313005,0.0
