,geo_id,stop_id,station_name,distance_miles
1379,1500000US170315808001,30061,Western,0.264719993
1380,1500000US170311505022,30248,Jefferson Park,1.112694574
1381,1500000US170314913001,30089,95th/Dan Ryan,0.095626756
1382,1500000US170312505002,30120,Ridgeland,0.331832974
1383,1500000US170314408001,30276,87th,1.490551583
1384,1500000US170310208024,30021,Morse,1.831672201
1385,1500000US170315103003,30089,95th/Dan Ryan,3.071075527
1386,1500000US170312514003,30244,Austin,0.064774121
1387,1500000US170315305033,30089,95th/Dan Ryan,1.11308812
1388,1500000US170318410001,30382,Cermak-McCormick Place,0.184845181
1389,1500000US170316201002,30186,Pulaski,0.511821271
1390,1500000US170312216002,30130,Western,0.11113905
1391,1500000US170314803001,30276,87th,2.484068088
1392,1500000US170314407001,30276,87th,1.262483261
1393,1500000US170313105001,30216,Halsted,0.4670064
1394,1500000US170314911004,30089,95th/Dan Ryan,1.183930129
1395,1500000US170316111003,30061,Western,1.661403111
1396,1500000US170317003022,30182,Midway,0.56710282
1397,1500000US170316904002,30192,69th,0.55392773
1398,1500000US170311606021,30168,Francisco,0.12690497
1399,1500000US170312214002,30112,California,0.049263477
1400,1500000US170310713001,30236,Fullerton,0.890354817
1401,1500000US170311502001,30260,Montrose,0.692462769
1402,1500000US170310716001,30156,Sedgwick,0.129517961
1403,1500000US170313005002,30029,Pulaski,0.147709291
1404,1500000US170311503001,30248,Jefferson Park,0.184272706
1405,1500000US170311902003,30108,Irving Park,1.458913766
1406,1500000US170311608005,30240,Addison,0.433934743
1407,1500000US170311510022,30108,Irving Park,1.024031236
1408,1500000US170310315023,30386,Wilson,0.526584049
1409,1500000US170310101003,30228,Jarvis,0.18429046
1410,1500000US170311503003,30248,Jefferson Park,0.177693589
1411,1500000US170310507001,30278,Addison,0.000577946
1412,1500000US170310309002,30268,Bryn Mawr,1.000308283
1413,1500000US170312428001,30266,California,0.209583176
1414,1500000US170310604002,30071,Southport,0.200536344
1415,1500000US170310811002,30280,Chicago,0.04054672
1416,1500000US170310404021,30019,Damen,0.30499625
1417,1500000US170311907023,30136,Laramie,0.142970411
1418,1500000US170310302003,30170,Thorndale,0.471642828
1419,1500000US170314606001,30140,Cottage Grove,3.205212879
1420,1500000US170317201003,30089,95th/Dan Ryan,2.750021798
1421,1500000US170311908001,30108,Irving Park,1.257906993
1422,1500000US170318316001,30264,Oak Park,0.123977586
1423,1500000US170314407002,30276,87th,0.972379655
1424,1500000US170311510023,30260,Montrose,0.341581598
1425,1500000US170315702001,30186,Pulaski,0.4765589
1426,1500000US170310201002,30176,Howard,0.756203873
1427,1500000US170310702001,30104,Diversey,0.377980557
1428,1500000US170311101001,30248,Jefferson Park,0.113235615
1429,1500000US170317503001,30089,95th/Dan Ryan,4.381444456
1430,1500000US170310309001,30268,Bryn Mawr,0.821696319
1431,1500000US170315204003,30089,95th/Dan Ryan,6.26465532
1432,1500000US170317003024,30182,Midway,1.05866742
1433,1500000US170312714001,30049,Kedzie-Homan,0.398133127
1434,1500000US170318350002,30057,Ashland/63rd,1.636246885
1435,1500000US170318325002,30236,Fullerton,0.474973436
1436,1500000US170310624001,30254,Paulina,0.152007768
1437,1500000US170311606012,30168,Francisco,0.114536589
1438,1500000US170312435001,30296,Morgan,0.057863405
1439,1500000US170314911002,30089,95th/Dan Ryan,0.769863946
1440,1500000US170311001003,30248,Jefferson Park,1.189633722
1441,1500000US170310618001,30274,Addison,0.489042782
1442,1500000US170311303001,30250,Kimball,0.269785818
1443,1500000US170310634002,30232,Wellington,0.626882701
1444,1500000US170314403005,30047,79th,0.148104665
1445,1500000US170310404024,30019,Damen,0.208749479
1446,1500000US170314910003,30089,95th/Dan Ryan,0.505040019
1447,1500000US170310406003,30284,Western,0.026808377
1448,1500000US170313106002,30162,18th,0.651571736
1449,1500000US170315101001,30089,95th/Dan Ryan,5.08559689
1450,1500000US170315701001,30186,Pulaski,0.061141493
1451,1500000US170316403001,30182,Midway,1.679193189
1452,1500000US170317114002,30276,87th,1.310592082
1453,1500000US170318351004,30061,Western,0.557772158
1454,1500000US170310209022,30252,Loyola,1.308098668
1455,1500000US170310315012,30150,Lawrence,0.255461774
1456,1500000US170317202001,30089,95th/Dan Ryan,2.726646028
1457,1500000US170315802002,30023,35th/Archer,1.368800829
1458,1500000US170311702003,30248,Jefferson Park,1.678890777
1459,1500000US170315202001,30089,95th/Dan Ryan,6.096615998
1460,1500000US170318381001,30033,Ashland,0.076894921
1461,1500000US170314907003,30089,95th/Dan Ryan,0.362601155
1462,1500000US170313007002,30152,Central Park,0.257143124
1463,1500000US170311709001,30146,Harlem,0.376225773
1464,1500000US170311504021,30248,Jefferson Park,0.548348595
1465,1500000US170310814022,30065,Grand,0.819703664
1466,1500000US170311504013,30248,Jefferson Park,1.011312463
1467,1500000US170317002001,30182,Midway,1.09335676
1468,1500000US170311006001,30146,Harlem,1.465084866
1469,1500000US170312504003,30244,Austin,0.066480833
1470,1500000US170313018022,30029,Pulaski,0.193069963
1471,1500000US170310315022,30386,Wilson,0.195558816
1472,1500000US170310306011,30170,Thorndale,0.16135911
1473,1500000US170316809003,30178,63rd,0.273729422
1474,1500000US170317004011,30182,Midway,1.810054413
1475,1500000US170318420002,30037,Sox-35th,0.112255056
1476,1500000US170318308003,30288,Montrose,0.170751715
1477,1500000US170313017012,30152,Central Park,0.083498946
1478,1500000US170312205002,30198,Logan Square,0.278069055
1479,1500000US170312413001,30116,Damen,0.217379068
1480,1500000US170317003011,30182,Midway,0.585146227
1481,1500000US170311303004,30250,Kimball,0.147363678
1482,1500000US170318428001,30061,Western,0.371037634
1483,1500000US170316904001,30218,King Drive,0.023632393
1484,1500000US170318428002,30061,Western,0.709622273
1485,1500000US170316608004,30220,Kedzie,0.524413021
1486,1500000US170316004001,30216,Halsted,0.458209264
1487,1500000US170312426004,30266,California,0.033790719
1488,1500000US170316407003,30182,Midway,1.231478564
1489,1500000US170310317001,30150,Lawrence,0.293677559
1490,1500000US170318420001,30214,35th-Bronzeville-IIT,0.303191497
1491,1500000US170318326001,30126,North/Clybourn,0.086771091
1492,1500000US170310802022,30122,Clark/Division,0.011812012
1493,1500000US170319801001,30182,Midway,1.664147379
1494,1500000US170311403012,30250,Kimball,0.977675831
1495,1500000US170316709001,30057,Ashland/63rd,0.504044292
1496,1500000US170312431001,30033,Ashland,0.569680567
1497,1500000US170316705001,30057,Ashland/63rd,0.91653777
1498,1500000US170310505001,30282,Irving Park,0.936922572
1499,1500000US170311911003,30136,Laramie,0.220915835
1500,1500000US170315703004,30186,Pulaski,0.52319345
1501,1500000US170312315003,30292,Conservatory,0.141826282
1502,1500000US170310802011,30122,Clark/Division,0.01930414
1503,1500000US170313006001,30152,Central Park,0.260075709
1504,1500000US170312003001,30198,Logan Square,1.347845368
1505,1500000US170317401001,30089,95th/Dan Ryan,5.342001895
