GEO_ID,Year,pri_neigh,sec_neigh,side,price_p_sf,price_p_house,prev_year_no_of_sales,prev_year_avg_age,prev_year_price_p_sf,prev_year_price_p_house,prev_year_avg_sf,station_name,Total Population,Median Age,Median HH Income,Total Housing Units,Median Number of Rooms,Median Year Built,Median Gross Rent,Mean HH Size,Percent White,Percent Black,Percent HH with Children,Percent Housing Vacant,public_schools,crime_count,crimes_per_capita,distance_miles
1500000US170310101001,2016,Rogers Park,ROGERS PARK,North,335.459870449836,146857.14285714287,7.0,85.14285714285714,59.79673531962824,204771.42857142858,3424.458333333333,Jarvis,526.0,33.800000000000004,23032.0,348.0,3.6999999999999997,1971.0,733.0,1.66,0.4448669201520912,0.5057034220532319,0.30357142857142844,0.09195402298850576,0.0,81.0,0.15399239543726237,0.16950036399999996
1500000US170310101001,2017,Rogers Park,ROGERS PARK,North,108.78597869607917,198000.0,7.0,55.142857142857146,118.14750716928876,213500.0,1807.0630952380955,Jarvis,421.0,45.5,14342.0,365.0,3.5,1973.0,733.0,1.3800000000000001,0.501187648456057,0.4536817102137767,0.24,0.1671232876712329,0.0,76.0,0.18052256532066505,0.16950036399999996
1500000US170310101001,2018,Rogers Park,ROGERS PARK,North,90.46955351564377,235300.0,9.0,52.44444444444444,150.994205336698,287211.1111111111,1902.133333333333,Jarvis,435.0,50.699999999999996,,355.0,4.6000000000000005,1971.0,785.0,1.4700000000000002,0.5655172413793103,0.4022988505747128,0.28,0.16619718309859155,0.0,91.0,0.20919540229885053,0.16950036399999996
1500000US170310101001,2019,Rogers Park,ROGERS PARK,North,194.5865376991992,134078.59259259258,7.0,43.142857142857146,335.459870449836,146857.14285714287,437.77857142857147,Jarvis,639.0,47.89999999999999,,376.0,4.8,1971.0,735.0,2.0500000000000003,0.45070422535211263,0.36306729264475746,0.3644067796610169,0.1702127659574468,0.0,61.0,0.09546165884194055,0.16950036399999996
1500000US170310101002,2016,Rogers Park,ROGERS PARK,North,159.70333329889488,150563.42857142858,5.0,90.0,97.47065533158076,88120.0,904.0669696969696,South Boulevard,2456.0,26.7,21548.0,1038.0,4.5,1939.0,733.0,2.74,0.2157980456026059,0.7219055374592834,0.6511194029850746,0.15028901734104047,1.0,381.0,0.15513029315960913,0.084235435
1500000US170310101002,2017,Rogers Park,ROGERS PARK,North,161.34226730756473,152000.0,10.0,92.1,104.4906134485298,94092.8,900.4904545454547,South Boulevard,1525.0,30.300000000000004,20729.0,837.0,3.5,1939.0,759.0,2.11,0.2321311475409836,0.7114754098360656,0.7579250720461096,0.16009557945041816,1.0,287.0,0.18819672131147544,0.08423543499999998
1500000US170310101002,2018,Rogers Park,ROGERS PARK,North,198.54761670277722,146622.0,10.0,87.2,130.55206527444216,186550.0,1428.931818181818,South Boulevard,1496.0,37.10000000000001,22537.0,865.0,3.7,1939.0,762.0,1.9499999999999997,0.3455882352941177,0.5955882352941176,0.6092544987146529,0.1352601156069364,1.0,293.0,0.195855614973262,0.08423543499999998
1500000US170310101002,2019,Rogers Park,ROGERS PARK,North,175.53309677549674,234178.57142857142,7.0,71.71428571428571,159.70333329889488,150563.42857142858,942.7694805194806,South Boulevard,1768.0,33.0,20721.0,955.0,3.5,1939.0,734.0,2.07,0.38235294117647056,0.5707013574660634,0.5416666666666666,0.12774869109947648,1.0,245.0,0.13857466063348414,0.08423543499999998
1500000US170310101003,2016,Rogers Park,ROGERS PARK,North,171.87596411812677,273553.15,16.0,91.9375,132.15649134870625,154881.25,1171.9534047807952,Jarvis,2086.0,34.699999999999996,54176.0,1278.0,4.1000000000000005,1939.0,1006.0,1.91,0.7042186001917548,0.138542665388303,0.6514285714285714,0.18388106416275424,0.0,213.0,0.10210930009587728,0.18429046000000002
1500000US170310101003,2017,Rogers Park,ROGERS PARK,North,190.50511843502895,250322.32142857142,14.0,89.35714285714286,169.6884792248692,153667.85714285713,905.5880390042172,Jarvis,2243.0,34.39999999999999,53929.0,1412.0,4.0,1939.0,984.0,1.8799999999999992,0.6723138653588946,0.1832367365135979,0.6101694915254238,0.1926345609065156,0.0,214.0,0.0954079358002675,0.18429046
1500000US170310101003,2018,Rogers Park,ROGERS PARK,North,229.64804905364633,224702.65384615384,11.0,91.0909090909091,114.54534980460285,233618.0909090909,2039.524880823257,Jarvis,2175.0,34.10000000000001,49432.0,1405.0,3.899999999999999,1939.0,1008.0,1.7800000000000002,0.6542528735632185,0.23908045977011486,0.6242424242424242,0.1715302491103203,0.0,154.0,0.07080459770114943,0.18429045999999996
1500000US170310101003,2019,Rogers Park,ROGERS PARK,North,227.16882321106687,223906.25,20.0,91.85,171.87596411812677,273553.15,1591.5730358434098,Jarvis,1981.0,33.39999999999999,59844.0,1292.0,3.7000000000000015,1939.0,1059.0,1.77,0.6320040383644623,0.23977788995456847,0.4672131147540986,0.17879256965944276,0.0,165.0,0.08329126703685004,0.18429046000000004
1500000US170310102011,2016,Rogers Park,ROGERS PARK,North,116.09142103935743,153557.57142857142,18.0,52.72222222222222,128.69773666546888,162933.33333333334,1266.0155303030303,Howard,1790.0,34.8,65854.0,689.0,4.599999999999999,1951.0,938.0,2.840000000000001,0.5234636871508378,0.3631284916201116,0.492753623188406,0.11756168359941949,0.0,109.0,0.06089385474860334,0.513968062
